"","type","group","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",0,0,".---",0,0,0,0,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488726,530027
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488726,530027
"3","gameLog","hitting",0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-4 | 2 BB, R",1,0,3,1,0,0,0,0,2,0,1,0,4,0,0,6,1,0,4,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488726,530027
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,"-.--","R",1,1,".000",".000",".000",".000",11,".000","2.00",114,"Cleveland Indians","/api/v1/teams/114",116,"Detroit Tigers","/api/v1/teams/116",572888,"Shane Greene","/api/v1/people/572888","Shane","Greene",488726,"Michael Brantley","/api/v1/people/488726","Michael","Brantley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",488726,530027
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"f6edf8ca-9791-493c-962c-c512d0726297",6,"2018-05-15T23:14:27.151Z","2018-05-15T23:14:34.825Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,FALSE,TRUE,0,0,FALSE,FALSE,"B","Ball","SL","Slider",4,2,0,1,87.1,81.1,3.2707,1.6742,13,2,0.4331,6.0137,23.0343,-27.2251,-0.3102,3.0082,-0.5166,0.8736,-4.9769,-126.7186,-6.5893,136.69,215.19,1.5035,50,5.6485,-0.5103,2.4,7.2,24,2302,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",488726,530027
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"7da0c94f-10bd-41b4-88c8-4de34cb328aa",1,"2018-05-15T23:38:45.141Z","2018-05-15T23:38:59.755Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,5,1,FALSE,FALSE,"D","In play, no out","SI","Sinker",0,0,2,2,92.7,84.3,3.2251,1.3164,6,2,0.4095,6.103,31.1194,-20.4715,8.3848,6.408,0.5261,1.9922,-6.4423,-134.7491,-5.27,96.95,184.99,1.8667,50,5.4332,15.3127,32.4,6,24,1801,127,104.4,-2,29,"ground_ball","medium","9",191.09,116.66,NA,"playLog","hitting",488726,530027
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"fd3f985a-352f-4344-b1bf-02150fd3d8df",3,"2018-05-16T00:09:28.983Z","2018-05-16T00:09:35.389Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,5,1,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",2,0,3,4,92.8,85,3.1667,1.2579,5,2,0.4046,6.5013,29.1391,-20.3839,7.5291,6.382,-0.1551,2.2971,-7.4689,-135.0084,-4.9209,122.91,176.76,1.6678,50,5.5761,13.9093,30,6,24,2002,131,98.4,-21,7,"ground_ball","medium","4",147.41,155.78,NA,"playLog","hitting",488726,530027
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"6e1465f6-b05d-47de-94bc-7b178185bf78",9,"2018-05-16T01:01:23.027Z","2018-05-16T01:01:28.866Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,7,3,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,2,1,6,94.3,85.8,3.3244,1.6071,11,2,0.4029,5.9155,31.111,-16.6297,-5.9659,8.1765,-1.2927,4.7577,2.2084,-137.2025,-0.1405,166.28,110.32,-1.3343,50,5.9454,-11.3418,33.6,4.8,24,2363,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",488726,530027
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"33413454-35b4-4c87-a02a-9d75233cccb4",7,"2018-05-16T01:29:56.005Z","2018-05-16T01:30:06.449Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,8,4,TRUE,FALSE,"X","In play, out(s)","SL","Slider",3,2,3,7,83.3,77.1,3.0829,1.1741,13,2,0.4525,6.2613,22.7603,-32.2695,1.8212,-0.064,-0.2337,0.9565,8.5733,-121.0784,-1.9011,126,212.9,-4.0511,50,4.5649,2.7142,7.2,8.4,24,NA,87,78.4,7,84,"ground_ball","medium","4",148.28,146.06,NA,"playLog","hitting",488726,530027
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"f80f8ee8-4282-4ec5-b3eb-bd8b35a4b893",5,"2018-05-16T02:31:46.412Z","2018-05-16T02:31:57.289Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(152, 0, 101, 1.0)",TRUE,FALSE,FALSE,8,9,TRUE,FALSE,"X","In play, out(s)","FC","Cutter",1,2,3,9,88.3,81.6,3.268,1.5205,4,2,0.4338,5.2673,25.1111,-31.2938,4.6284,0.5233,-0.6116,2.3738,1.7895,-128.4955,-3.0037,140.31,174.77,-1.9171,50,5.974,7.7854,14.4,8.4,24,2542,94,103.1,-12,10,"ground_ball","medium","6",111.85,157.3,NA,"playLog","hitting",488726,530027
