"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_runner_going","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",6,2,0,8,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519299,566887
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519299,566887
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-6 | K",1,2,3,0,0,0,0,1,0,0,0,0,6,0,0,6,0,0,4,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519299,566887
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,NA,1,0,0,0,1,0,2,0,3,0,0,4,3,1,1,0,0,0,"-.--","R",3,1,".667",".750","1.000","1.750",19,".667","0.00",112,"Chicago Cubs","/api/v1/teams/112",113,"Cincinnati Reds","/api/v1/teams/113",592390,"Heath Hembree","/api/v1/people/592390","Heath","Hembree",519299,"Eric Sogard","/api/v1/people/519299","Eric","Sogard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",519299,566887
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"9c6ec2f2-dcf0-4a34-ae33-a81708db970d",4,"2019-05-22T23:16:50.857Z","2019-05-22T23:16:56.996Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,0,0,TRUE,FALSE,NA,"S","Swinging Strike","FF","Four-Seam Fastball",1,3,1,1,91,82.9,3.301,1.504,1,2,0.42,5.653,28.8785,-15.6011,-7.1625,9.3834,-0.665,3.2809,5.5063,-132.2396,-4.2728,142.35,150.18,-1.8464,50,6.0661,-12.6505,34.8,4.8,24,2505,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",519299,566887
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3b102087-9a63-4bea-9efb-c86376adc40b",1,"2019-05-23T00:01:50.787Z","2019-05-23T00:02:02.199Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,2,0,TRUE,FALSE,NA,"X","In play, out(s)","SI","Sinker",0,0,3,3,89.7,81.8,3.4,1.58,5,2,0.4261,5.7736,27.9785,-28.1786,-11.0927,2.3387,0.0144,2.5642,9.5759,-130.0684,-2.944,116.45,169.55,-2.2787,50,5.8535,-18.9509,30,8.4,24,2273,257,83.6,36,309,"fly_ball","medium","9",178.36,80.01,NA,"playLog","hitting",519299,566887
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"179544e8-651f-4cfe-bc21-8c22b0e5f3bd",3,"2019-05-23T00:45:09.250Z","2019-05-23T00:45:20.595Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,2,1,TRUE,FALSE,NA,"X","In play, out(s)","CH","Changeup",1,1,2,6,79.9,73,3.301,1.504,8,2,0.4808,5.5325,22.6315,-31.8907,-11.3537,0.2095,-0.0891,1.9961,7.8137,-115.8532,-1.9289,120.4,184.89,-2.0386,50,5.9015,-15.3555,24,10.8,24,1660,269,89.3,-16,9,"ground_ball","medium","3",155.64,165.77,NA,"playLog","hitting",519299,566887
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"26c2ee8d-94ab-4c6d-90b0-8133caa87f1e",5,"2019-05-23T01:25:59.131Z","2019-05-23T01:26:09.641Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(153, 171, 0, 1.0)",TRUE,FALSE,FALSE,3,2,TRUE,FALSE,NA,"X","In play, out(s)","KC","Knuckle Curve",2,2,3,7,81.4,74.7,3.46,1.65,5,2,0.4656,6.2336,25.0481,-48.1355,2.2589,-11.368,0.0237,2.4401,3.189,-118.4365,1.1232,116.1,172.9,-1.6396,50,6.4021,3.1717,4.8,14.4,24,2684,13,95,-8,19,"ground_ball","medium","4",150.8,155.48,NA,"playLog","hitting",519299,566887
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"383ee3ba-9e7d-48ae-9f52-b1e29d0224c2",6,"2019-05-23T02:08:58.608Z","2019-05-23T02:09:07.083Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,4,4,TRUE,FALSE,TRUE,"X","In play, out(s)","SL","Slider",3,2,3,9,86.3,79.7,3.301,1.504,13,2,0.4336,6.6054,25.4959,-34.0622,5.8396,-1.179,-0.23,1.0534,0.8562,-125.7562,-3.3376,125.77,210.34,-1.3334,50,5.1606,9.3518,15.6,9.6,24,2455,76,80.9,-7,11,"ground_ball","medium","3",153.22,165.17,NA,"playLog","hitting",519299,566887
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"67c9a506-1bae-4280-8958-c7cb782856af",4,"2019-05-23T02:57:46.566Z","2019-05-23T02:58:03.149Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,4,TRUE,FALSE,NA,"X","In play, out(s)","FF","Four-Seam Fastball",1,2,3,11,96.2,88.2,3.301,1.504,6,2,0.3904,6.4663,30.4527,-15.6386,-5.3707,8.3194,0.7233,2.5999,8.7022,-139.8451,-4.8233,89.43,168.58,-1.7258,50,5.367,-10.6747,27.6,3.6,24,2238,209,84.2,30,305,"fly_ball","medium","7",85.95,77.1,NA,"playLog","hitting",519299,566887
