"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,14,0,14,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571970,632764
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571970,632764
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"0-7 | 2 K",1,2,2,0,0,0,0,2,0,0,0,0,7,0,0,7,0,0,7,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571970,632764
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"8990bc0b-f7cf-4a48-bb1a-57ba31344b9b",7,"2021-08-26T02:14:38.168Z","2021-08-26T02:14:46.882Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","SL","Slider",2,2,2,1,87.7,81.3,3.371,1.535,7,0.92,0.4284,6.5758,24.7814,-31.2168,-1.2915,0.5727,-0.7868,2.0618,-6.0662,-127.559,-4.9062,146.99,183.11,1.784,50.0004,6.4545,-2.1387,6,8.4,24,2536,249,90.8,-4,23,"ground_ball","medium","4",135.59,149.24,NA,"playLog","hitting",571970,632764
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"90bfa94d-000d-4d65-9876-56d05a623510",3,"2021-08-26T03:07:39.878Z","2021-08-26T03:07:48.888Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,1,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,0,2,4,95.7,87,3.371,1.535,3,0.9,0.3947,6.8009,33.3179,-10.8642,2.2191,10.9405,0.496,2.8556,-4.7197,-139.1681,-7.6408,98.09,161.68,1.931,50.0007,6.3689,4.322,14.4,2.4,24,2431,158,106.9,32,403,"fly_ball","hard","8",141.87,36.86,NA,"playLog","hitting",571970,632764
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"66e412b6-4364-417c-bbf6-fccca2ced878",6,"2021-08-26T03:46:57.953Z","2021-08-26T03:47:06.984Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,1,TRUE,FALSE,"X","In play, out(s)","SL","Slider",3,2,3,6,87.1,81.1,3.371,1.535,4,0.91,0.4299,6.7049,22.9509,-29.771,-1.6477,1.462,-0.5879,2.3996,-5.4766,-126.8177,-4.068,139.41,173.99,1.8032,50.0063,6.3671,-2.717,7.2,7.2,24,2540,298,86.4,51,231,"fly_ball","medium","8",104.22,110.38,NA,"playLog","hitting",571970,632764
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8db040b8-a599-46bb-a8d0-6b54be074b75",2,"2021-08-26T04:46:17.665Z","2021-08-26T04:46:25.929Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(152, 0, 101, 1.0)",TRUE,FALSE,FALSE,1,1,TRUE,FALSE,"X","In play, out(s)","FC","Cutter",0,1,2,9,92.2,83.9,3.371,1.535,5,0.9,0.4101,6.3081,31.2446,-18.2547,-1.7349,7.7227,-0.1616,2.3697,6.6867,-133.9921,-6.5479,123.16,174.8,-2.4735,50.0062,6.1676,-3.1291,4.8,4.8,24,2337,188,104.5,2,61,"ground_ball","hard","4",140.87,144.67,NA,"playLog","hitting",571970,632764
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"65d67a1f-aa9e-4bf5-8cd0-3f0befa609df",3,"2021-08-26T05:34:10.208Z","2021-08-26T05:34:17.418Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,1,1,TRUE,FALSE,"X","In play, out(s)","SI","Sinker",1,1,3,11,91.2,83.1,3.371,1.535,9,0.91,0.414,6.6587,28.5009,-36.533,11.0428,-2.4566,0.8008,1.8487,-10.5231,-132.3571,3.6982,86.48,188.87,3.3952,50.0047,3.1101,19.5765,26.4,9.6,24,2163,93,83.2,27,295,"line_drive","medium","8",126.93,81.46,NA,"playLog","hitting",571970,632764
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"8b3d27b2-89b8-4798-aa9e-cb356cfd6a0c",3,"2021-08-26T06:30:19.550Z","2021-08-26T06:30:25.425Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 85, 254, 1.0)",FALSE,TRUE,FALSE,1,1,TRUE,FALSE,"S","Swinging Strike","CH","Changeup",0,3,3,13,83.5,76.7,3.371,1.535,11,2,0.4504,7.0805,23.6738,-30.0613,-9.2446,1.4069,-1.3875,2.5349,5.0103,-121.5665,-0.5141,169.89,170.34,-2.2735,50,5.357,-13.8442,22.8,8.4,24,1537,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",571970,632764
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"64a981b3-d272-4199-a2fb-7e692aafa0ff",5,"2021-08-26T07:17:35.840Z","2021-08-26T07:17:43.802Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 0, 254, 1.0)",FALSE,TRUE,FALSE,3,1,TRUE,FALSE,"S","Swinging Strike","SL","Slider",2,3,2,15,86.7,80.4,3.371,1.535,8,0.9,0.432,6.2617,23.5786,-27.6791,-1.1147,2.7558,-0.26,1.9782,-4.7928,-126.3452,-3.3026,126.91,185.37,1.7994,50.0031,5.5053,-1.8177,4.8,7.2,24,1815,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",571970,632764
