"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",5,0,0,5,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592518,448133
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592518,448133
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"1-6 | BB, 2 K, R",1,2,1,1,0,0,0,2,1,0,1,0,6,1,0,7,1,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592518,448133
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"160706_121525","d1884e54-c26f-471b-9828-cd5d55ecd124",3,"2016-07-06T19:15:33.133Z","2016-07-06T19:15:45.033Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,0,TRUE,FALSE,"X","In play, out(s)","SL","Slider",1,1,2,1,86.5,81.4,3.82,1.76,7,2,21.852,-36.054,0.62,-2.38,-0.81,2.136,2.25,-126.894,-1.919,147.88,181.11,-1.782,50,5.729,1.025,2.4,8.4,24,458,14,91.1,41,308,"fly_ball","medium","7",48.05,93.93,NA,"playLog","hitting",592518,448133
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"160706_130042","e671364e-1eec-4b1c-ae2c-b43cec44e3cd",2,"2016-07-06T20:00:51.392Z","2016-07-06T20:01:09.152Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,2,2,TRUE,FALSE,"E","In play, run(s)","SL","Slider",1,0,2,3,87.4,81.7,3.82,1.76,9,2,23.497,-30.745,1.82,0.81,0.6,2.154,4.931,-128.048,-2.832,94.13,180.62,-1.578,50,5.651,3.058,7.2,7.2,24,382,115,NA,NA,NA,"ground_ball","medium","6",107.95,151.91,NA,"playLog","hitting",592518,448133
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"160706_134122","731fb8fe-585c-4105-afb4-40e7d642bec7",1,"2016-07-06T20:41:29.282Z","2016-07-06T20:41:41.835Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(152, 0, 101, 1.0)",TRUE,FALSE,FALSE,3,2,TRUE,FALSE,"X","In play, out(s)","FC","Cutter",0,0,2,5,87.8,82.1,3.82,1.76,8,2,23.284,-29.259,1.21,1.67,-0.14,2.308,3.449,-128.66,-2.868,122.34,176.46,-1.648,50,5.673,2.055,4.8,7.2,24,402,144,82.8,32,301,"fly_ball","medium","8",105.41,83.25,NA,"playLog","hitting",592518,448133
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"160706_143444","5dd1470d-aee6-4258-894c-8a65f7b02371",6,"2016-07-06T21:34:48.165Z","2016-07-06T21:34:53.765Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(0, 85, 254, 1.0)",FALSE,TRUE,FALSE,4,4,TRUE,FALSE,"S","Swinging Strike","CH","Changeup",2,3,2,7,85.6,79.7,3.82,1.76,13,2,23.651,-29.61,7.5,1.56,-1.342,1.656,-8.363,-125.224,-4.771,168.15,194.07,1.056,50,5.988,11.984,19.2,8.4,24,1419,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",592518,448133
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"160706_154437","e3e1668d-31f8-40c1-a1fb-c068133e1eba",6,"2016-07-06T22:44:41.719Z","2016-07-06T22:44:46.740Z",TRUE,"pitch","Foul Tip","T","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,4,4,TRUE,FALSE,"T","Foul Tip","FF","Four-Seam Fastball",2,3,1,10,93.3,85.7,3.82,1.76,1,2,30.243,-13.952,4.18,9.6,-0.372,3.93,-5.855,-136.646,-2.754,131.18,132.67,1.256,50,5.91,7.897,24,3.6,24,2108,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",592518,448133
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"160706_163025","45ac9f45-b886-48fd-a6ff-744e5bed3b86",8,"2016-07-06T23:30:30.043Z","2016-07-06T23:30:36.156Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,4,4,FALSE,FALSE,"B","Ball","SI","Sinker",4,2,1,12,86.1,79.2,3.82,1.76,12,2,26.411,-32.823,8.98,-0.45,0.481,4.496,-3.02,-126.199,2.192,98.67,117.39,0.528,50,6.266,14.436,22.8,8.4,24,1661,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",592518,448133
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"160706_171039","76e28d57-c20e-4c1a-8ac1-38ca59fe64f7",3,"2016-07-07T00:10:48.484Z","2016-07-07T00:11:03.570Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,4,4,FALSE,FALSE,"D","In play, no out","SI","Sinker",1,1,1,14,97.2,88.8,3.82,1.76,11,2,35.114,-16.404,-6.92,7.71,-0.879,2.91,5.482,-142.328,-5.289,150.51,160.21,-1.938,50,5.845,-14.084,36,4.8,24,2155,221,64.6,27,182,"line_drive","soft","9",168.35,137.67,NA,"playLog","hitting",592518,448133
