"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",5,0,0,5,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592743,631357
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592743,631357
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"2-5 | HBP, RBI, R",1,0,2,1,0,0,0,0,0,0,2,1,5,0,0,6,2,1,1,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592743,631357
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,1,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,"-.--","R",2,0,"1.000","1.000","2.000","3.000",10,"1.000","-.--",142,"Minnesota Twins","/api/v1/teams/142",117,"Houston Astros","/api/v1/teams/117",548384,"Brooks Raley","/api/v1/people/548384","Brooks","Raley",592743,"Andrelton Simmons","/api/v1/people/592743","Andrelton","Simmons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",592743,631357
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"31310360-ad8d-4b7e-94fa-fdcf0efb7df6",1,"2020-09-05T01:18:02.033Z","2020-09-05T01:18:14.033Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,0,0,FALSE,FALSE,"D","In play, no out","SI","Sinker",0,0,0,1,90.4,83.3,3.43,1.6,4,2,0.4151,5.8184,26.1729,-23.1374,-9.6822,5.1165,-0.7443,2.2177,5.8896,-131.6113,-3.8638,145.37,178.9,-1.7455,50.0019,5.4047,-17.0989,33.6,6,24,2086,223,89.8,1,52,"ground_ball","medium","6",110.13,135.95,NA,"playLog","hitting",592743,631357
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"740e2a45-a44f-47e1-8423-f4f325f6af5c",7,"2020-09-05T01:52:32.560Z","2020-09-05T01:52:44.956Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,0,3,TRUE,FALSE,"X","In play, out(s)","SL","Slider",2,2,1,2,79.6,73.2,3.43,1.6,5,2,0.4734,6.0836,22.5766,-36.9395,7.2721,-3.5152,0.1544,2.4649,3.2886,-115.8896,0.7289,111.12,172.23,-2.23,50.0046,5.6874,9.8478,15.6,12,24,2380,51,82.6,-8,17,"ground_ball","medium","6",106.42,147.84,NA,"playLog","hitting",592743,631357
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"668cfddd-3aac-4ef5-ac03-816654ff54f7",4,"2020-09-05T02:36:09.836Z","2020-09-05T02:36:16.014Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,2,4,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,1,3,4,93.7,86.3,3.43,1.6,9,2,0.4012,6.1289,27.7094,-12.6231,-4.0995,10.3398,0.3462,1.7159,6.7513,-136.1116,-8.2523,103.8,192.45,-1.625,50.0044,5.6459,-7.7532,24,3.6,24,1426,92,100.8,-30,4,"ground_ball","hard","4",127.09,143.21,NA,"playLog","hitting",592743,631357
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"13600030-10e3-473d-bf4f-927f5d5cab05",3,"2020-09-05T03:22:39.373Z","2020-09-05T03:22:53.577Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,2,5,FALSE,FALSE,"E","In play, run(s)","FF","Four-Seam Fastball",2,0,2,6,93.2,85.9,3.43,1.6,2,0.84,0.4022,5.8186,27.6231,-17.6869,3.2836,7.6982,-0.173,2.9248,-3.8805,-135.7826,-3.7036,123.59,159.81,0.843,50.001,5.5251,6.1776,16.8,3.6,24,2020,156,85.3,11,187,"line_drive","medium","9",197.14,105.15,NA,"playLog","hitting",592743,631357
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"b5e8d60d-6cc3-4920-bf30-947e4aafedf9",6,"2020-09-05T04:16:13.709Z","2020-09-05T04:16:28.651Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(152, 0, 101, 1.0)",TRUE,FALSE,FALSE,2,5,TRUE,FALSE,"X","In play, out(s)","FC","Cutter",3,2,2,8,94.1,87.4,3.43,1.6,6,2,0.3972,5.8572,25.9133,-12.9272,0.5849,9.9596,0.3542,2.6974,2.2812,-137.0836,-7.29,103.5,165.95,-0.5596,50.0037,6.2454,1.1302,6,3.6,24,2353,175,93.1,20,349,"line_drive","medium","8",141.49,52.66,NA,"playLog","hitting",592743,631357
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"8e3249ef-67eb-4e30-bae0-d1c899012fc3",5,"2020-09-05T05:19:53.938Z","2020-09-05T05:19:58.833Z",TRUE,"pitch","Hit By Pitch","H","rgba(39, 161, 39, 1.0)","rgba(0, 34, 255, 1.0)",FALSE,FALSE,TRUE,5,5,FALSE,FALSE,"H","Hit By Pitch","CU","Curveball",3,2,2,10,77.8,71.3,3.43,1.6,13,2,0.4882,5.3997,24.3088,-41.1245,-7.1395,-7.0534,-2.0749,1.0371,-7.2285,-113.0218,-1.2901,196.09,210.78,2.1158,50.0028,5.8174,-9.0582,14.4,13.2,24,3092,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",592743,631357
