player_id,batters_faced,outs,games_pitched,balls,strikes,hit_batsmen,balks,wild_pitches,strike_outs,runs,base_on_balls,game_date,playerID,nameFirst,nameLast,birthDate,birthYear,birthMonth,birthDay,debut,finalGame,bbrefID,debut_year,final_year
112020,31,23,1,36,82,0,0,0,12,3,0,2005-04-27,carpech01,Chris,Carpenter,1975-04-27,1975,4,27,1997-05-12,2012-10-02,carpech01,1997,2012
112020,25,18,1,36,53,0,0,0,4,2,3,2010-04-27,carpech01,Chris,Carpenter,1975-04-27,1975,4,27,1997-05-12,2012-10-02,carpech01,1997,2012
133225,27,21,1,40,76,0,0,1,5,1,2,2011-05-03,dempsry01,Ryan,Dempster,1977-05-03,1977,5,3,1998-05-23,2013-09-29,dempsry01,1998,2013
133225,28,24,1,34,67,0,0,0,6,0,1,2012-05-03,dempsry01,Ryan,Dempster,1977-05-03,1977,5,3,1998-05-23,2013-09-29,dempsry01,1998,2013
150302,29,21,1,47,65,0,0,0,5,1,5,2007-08-21,marquja01,Jason,Marquis,1978-08-21,1978,8,21,2000-06-06,2015-05-25,marquja01,2000,2015
150302,25,16,1,33,53,1,0,1,5,3,3,2012-08-21,marquja01,Jason,Marquis,1978-08-21,1978,8,21,2000-06-06,2015-05-25,marquja01,2000,2015
207267,26,21,1,40,58,1,0,0,5,4,2,2008-05-24,pennybr01,Brad,Penny,1978-05-24,1978,5,24,2000-04-07,2014-09-26,pennybr01,2000,2014
217096,30,19,1,44,70,0,0,1,5,4,3,2009-05-13,zitoba01,Barry,Zito,1978-05-13,1978,5,13,2000-07-22,2015-09-30,zitoba01,2000,2015
217096,27,18,1,40,63,1,0,0,5,3,3,2012-05-13,zitoba01,Barry,Zito,1978-05-13,1978,5,13,2000-07-22,2015-09-30,zitoba01,2000,2015
334492,26,21,1,36,63,0,0,0,7,3,2,2008-09-25,pineijo01,Joel,Pineiro,1978-09-25,1978,9,25,2000-08-08,2011-09-25,pineijo01,2000,2011
346793,7,5,1,7,15,0,0,0,3,0,0,2011-06-06,affelje01,Jeremy,Affeldt,1979-06-06,1979,6,6,2002-04-06,2015-10-04,affelje01,2002,2015
400061,24,21,1,30,70,0,0,0,9,0,0,2007-08-29,oswalro01,Roy,Oswalt,1977-08-29,1977,8,29,2001-05-06,2013-09-29,oswalro01,2001,2013
407822,21,13,1,38,63,0,0,0,4,4,3,2014-04-05,delarjo01,Jorge,De La Rosa,1981-04-05,1981,4,5,2004-08-14,2018-09-30,rosajo01,2004,2018
408241,21,21,1,20,57,0,0,0,3,0,0,2016-05-31,peavyja01,Jake,Peavy,1981-05-31,1981,5,31,2002-06-22,2016-09-21,peavyja01,2002,2016
421685,30,21,1,38,69,0,0,0,7,3,1,2009-05-09,haranaa01,Aaron,Harang,1978-05-09,1978,5,9,2002-05-25,2015-10-03,haranaa01,2002,2015
421685,31,21,1,34,67,0,0,0,2,3,1,2015-05-09,haranaa01,Aaron,Harang,1978-05-09,1978,5,9,2002-05-25,2015-10-03,haranaa01,2002,2015
425626,29,19,1,42,71,1,0,2,8,5,1,2007-08-19,capuach01,Chris,Capuano,1978-08-19,1978,8,19,2003-05-04,2016-05-25,capuach01,2003,2016
