"","player_id","nameFirst","nameLast","birthDate","pa","at_bats","tot_ob","total_bases","game_type"
"1",642715,"Willy","Adames",1995-09-02,2264,2046,727,918,"nbd"
"2",642715,"Willy","Adames",1995-09-02,20,18,8,7,"bd"
"3",656180,"Riley","Adams",1996-06-26,151,139,37,44,"nbd"
"4",571431,"Matt","Adams",1988-08-31,1028,946,312,466,"nbd"
"5",656180,"Riley","Adams",1996-06-26,4,3,1,0,"bd"
"6",571431,"Matt","Adams",1988-08-31,9,9,1,1,"bd"
"7",666176,"Jo","Adell",1999-04-08,283,266,75,100,"nbd"
"8",666176,"Jo","Adell",1999-04-08,2,2,0,0,"bd"
"9",501303,"Ehire","Adrianza",1989-08-21,516,447,169,170,"nbd"
"10",501303,"Ehire","Adrianza",1989-08-21,7,6,1,0,"bd"
"11",346793,"Jeremy","Affeldt",1979-06-06,1,1,0,0,"nbd"
"12",346793,"Jeremy","Affeldt",1979-06-06,1,0,1,0,"bd"
"13",542583,"Jesus","Aguilar",1990-06-30,1378,1211,468,612,"nbd"
"14",542583,"Jesus","Aguilar",1990-06-30,9,9,0,0,"bd"
"15",642727,"Sergio","Alcantara",1996-07-10,473,419,134,144,"nbd"
"16",642727,"Sergio","Alcantara",1996-07-10,6,6,1,1,"bd"
"17",595751,"Jorge","Alfaro",1993-06-11,1041,975,309,382,"nbd"
"18",595751,"Jorge","Alfaro",1993-06-11,9,7,2,0,"bd"
"19",501659,"Abraham","Almonte",1989-06-27,172,146,57,59,"nbd"
"20",501659,"Abraham","Almonte",1989-06-27,3,2,1,0,"bd"
"21",546991,"Albert","Almora",1994-04-16,1159,1078,357,430,"nbd"
"22",546991,"Albert","Almora",1994-04-16,6,4,2,0,"bd"
"23",475174,"Yonder","Alonso",1987-04-08,2347,2079,776,844,"nbd"
"24",475174,"Yonder","Alonso",1987-04-08,17,16,8,12,"bd"
"25",514888,"Jose","Altuve",1990-05-06,3810,3418,1411,1714,"nbd"
"26",514888,"Jose","Altuve",1990-05-06,25,22,8,10,"bd"
